epoch,loss_cov,loss_marginal,step
0,0.734074056148529,9.381902694702148,63
1,0.7340808510780334,9.261886596679688,127
2,0.7340811491012573,9.270753860473633,191
3,0.7340811491012573,9.25900936126709,255
4,0.7340811491012573,9.253287315368652,319
5,0.7340811491012573,9.258133888244629,383
6,0.7340811491012573,9.246952056884766,447
7,0.7340811491012573,9.255867958068848,511
8,0.7340811491012573,9.258540153503418,575
9,0.7340811491012573,9.2518310546875,639
10,0.7340811491012573,9.273543357849121,703
11,0.7340811491012573,9.256609916687012,767
