epoch,loss_cov,loss_marginal,step
0,0.15122705698013306,1.0941452980041504,31
1,0.05490197241306305,0.1640440821647644,63
2,0.03957474231719971,0.09601937234401703,95
3,0.026406416669487953,0.08684968948364258,127
4,0.02716919593513012,0.08621612191200256,159
5,0.020196108147501945,0.08105218410491943,191
6,0.01656312495470047,0.07816790044307709,223
7,0.017626574262976646,0.07632774859666824,255
8,0.017306329682469368,0.0732986107468605,287
9,0.026399774476885796,0.08097643405199051,319
10,0.02171206846833229,0.07789100706577301,351
