epoch,loss_cov,loss_marginal,step
0,15.21044921875,19.373098373413086,63
1,0.9084879159927368,1.9762464761734009,127
2,0.4095500409603119,1.4969868659973145,191
3,0.41405022144317627,1.349521517753601,255
4,0.42230454087257385,1.313392996788025,319
5,0.4234587252140045,1.3023728132247925,383
6,0.42405036091804504,1.2994136810302734,447
7,0.4248289465904236,1.3003629446029663,511
8,0.4248521327972412,1.2983174324035645,575
9,0.4264007806777954,1.3026847839355469,639
10,0.42478078603744507,1.294588327407837,703
11,0.425882488489151,1.300721526145935,767
12,0.4257042706012726,1.299912691116333,831
13,0.4265443980693817,1.2984869480133057,895
14,0.42437276244163513,1.2992647886276245,959
15,0.4245975911617279,1.295373558998108,1023
16,0.4266892075538635,1.298052191734314,1087
17,0.42497727274894714,1.296745777130127,1151
18,0.4262310862541199,1.2974814176559448,1215
19,0.42462557554244995,1.2975929975509644,1279
20,0.42522257566452026,1.2984037399291992,1343
