epoch,loss,loss_corr,loss_marginal,step
0,0.30407750606536865,0.08494119346141815,0.21913641691207886,31
1,0.08920145034790039,0.023533513769507408,0.06566794961690903,63
2,0.07796189188957214,0.0176972895860672,0.06026460602879524,95
3,0.0739642083644867,0.014971401542425156,0.05899280309677124,127
4,0.07269559055566788,0.013690223917365074,0.05900536850094795,159
5,0.07103150337934494,0.013751337304711342,0.057280171662569046,191
6,0.0693020224571228,0.013670540414750576,0.05563148111104965,223
7,0.06909210234880447,0.01284638699144125,0.056245699524879456,255
8,0.06845945864915848,0.013134305365383625,0.05532515048980713,287
9,0.06416232138872147,0.01270361803472042,0.05145870894193649,319
10,0.06398791819810867,0.013367348350584507,0.050620559602975845,351
11,0.06188162416219711,0.012890500947833061,0.048991113901138306,383
12,0.0606384202837944,0.012588314712047577,0.048050109297037125,415
13,0.06025367230176926,0.013097056187689304,0.04715660959482193,447
14,0.05931222811341286,0.012730315327644348,0.046581897884607315,479
15,0.05901370942592621,0.012794948183000088,0.04621875286102295,511
16,0.05787736177444458,0.012626084499061108,0.045251280069351196,543
17,0.05887118726968765,0.013208949007093906,0.045662228018045425,575
18,0.05737079307436943,0.012785980477929115,0.04458482190966606,607
19,0.05698753893375397,0.013102150522172451,0.04388539493083954,639
