epoch,loss,loss_corr,loss_marginal,step
0,0.5316261053085327,0.15594930946826935,0.3756767809391022,15
1,0.1671261489391327,0.05402242764830589,0.1131037250161171,31
2,0.10891301184892654,0.035305414348840714,0.07360757887363434,47
3,0.09089726209640503,0.026263825595378876,0.06463344395160675,63
4,0.08537524938583374,0.021217430010437965,0.06415781378746033,79
5,0.08205817639827728,0.01872606948018074,0.06333210319280624,95
6,0.0786929801106453,0.01697690598666668,0.061716072261333466,111
7,0.07796535640954971,0.01610591635107994,0.06185944005846977,127
8,0.07623257488012314,0.015156733803451061,0.061075832694768906,143
9,0.07570526003837585,0.014512459747493267,0.06119280681014061,159
10,0.07512906193733215,0.015360062941908836,0.05976898595690727,175
11,0.07241810858249664,0.01445792242884636,0.05796018987894058,191
12,0.07022372633218765,0.013916213065385818,0.05630750581622124,207
13,0.07541107386350632,0.016719430685043335,0.05869165435433388,223
14,0.07462023198604584,0.015264690853655338,0.059355538338422775,239
15,0.06935209780931473,0.01414524670690298,0.05520685017108917,255
16,0.06802497059106827,0.013854601420462132,0.05417037382721901,271
17,0.06737267971038818,0.013780553825199604,0.05359211936593056,287
18,0.06865069270133972,0.015048972330987453,0.053601715713739395,303
19,0.06729622930288315,0.01384737342596054,0.053448859602212906,319
