epoch,loss_cov,loss_marginal,step
0,0.38002562522888184,1.0632303953170776,31
1,0.5074408054351807,0.39260315895080566,63
2,0.2833239734172821,0.442796528339386,95
3,0.15463170409202576,0.25584015250205994,127
4,0.08619588613510132,0.15550684928894043,159
5,0.05794932693243027,0.10156189650297165,191
6,0.06224878877401352,0.10907598584890366,223
7,0.053013838827610016,0.09054426103830338,255
8,0.05339612811803818,0.09668545424938202,287
9,0.050952404737472534,0.0930401161313057,319
10,0.04571795091032982,0.0894249752163887,351
11,0.04416925460100174,0.08673196285963058,383
12,0.04735148325562477,0.08431471884250641,415
13,0.042370978742837906,0.0783211886882782,447
14,0.04131515324115753,0.08186162263154984,479
15,0.04185197502374649,0.07860562205314636,511
16,0.0418006107211113,0.07834845781326294,543
17,0.03906276822090149,0.07687367498874664,575
18,0.033743396401405334,0.061851467937231064,607
19,0.030469955876469612,0.05422564223408699,639
20,0.030283121392130852,0.0554356649518013,671
