epoch,loss_cov,loss_marginal,step
0,0.907278835773468,1.2556270360946655,31
1,0.8894959688186646,0.8201408386230469,63
2,0.8157355189323425,0.8117757439613342,95
3,0.5238437652587891,0.8361069560050964,127
4,0.21770526468753815,0.8041737675666809,159
5,0.17902100086212158,0.7784583568572998,191
6,0.15518242120742798,0.7479265332221985,223
7,0.18322491645812988,0.6852055788040161,255
8,0.1968444436788559,0.6667628288269043,287
9,0.2082156389951706,0.6415055394172668,319
10,0.2099304050207138,0.6364524960517883,351
11,0.21389897167682648,0.6347935795783997,383
12,0.2107323706150055,0.6325967907905579,415
13,0.21357101202011108,0.6255853176116943,447
14,0.2122456431388855,0.6279898285865784,479
15,0.2148856818675995,0.6211203336715698,511
16,0.21347495913505554,0.6147119402885437,543
17,0.21308386325836182,0.6129997372627258,575
18,0.22436198592185974,0.607170581817627,607
19,0.2092207968235016,0.6078264713287354,639
20,0.20903410017490387,0.6111844778060913,671
