epoch,loss_cov,loss_marginal,step
0,0.6690585613250732,4.716666221618652,31
1,0.9437426924705505,1.8836582899093628,63
2,0.4881024956703186,1.4054299592971802,95
3,0.4559514820575714,1.351858139038086,127
4,0.43313711881637573,1.3118408918380737,159
5,0.42787814140319824,1.288986086845398,191
6,0.4277224838733673,1.2842161655426025,223
7,0.42757168412208557,1.2837567329406738,255
8,0.4272471070289612,1.284058690071106,287
9,0.4274398684501648,1.2833576202392578,319
10,0.4271262288093567,1.2842071056365967,351
11,0.4277961552143097,1.2836802005767822,383
