epoch,loss_cov,loss_marginal,step
0,0.6947134137153625,9.752877235412598,63
1,0.6946473717689514,9.384733200073242,127
2,0.694655179977417,9.264634132385254,191
3,0.69469153881073,9.24488639831543,255
4,0.6946583986282349,9.232339859008789,319
5,0.6940950751304626,9.223427772521973,383
6,0.6936779618263245,9.219090461730957,447
7,0.6937596797943115,9.21886920928955,511
8,0.6938543915748596,9.218570709228516,575
9,0.693928062915802,9.21829891204834,639
10,0.6939850449562073,9.218273162841797,703
11,0.694034218788147,9.217947006225586,767
12,0.6940789222717285,9.218029022216797,831
13,0.6941246390342712,9.218328475952148,895
14,0.6941626667976379,9.218229293823242,959
15,0.6941906213760376,9.217891693115234,1023
16,0.6942182183265686,9.217875480651855,1087
17,0.6942364573478699,9.217772483825684,1151
